id,dia,reef,site,transect,observer,team,night,depth,hc,habitat
98,40,Rudder,1,2,KJ/ZC,2,1,2,35,crest
99,35,Rudder,1,2,KJ/ZC,2,1,2,35,crest
150,40,Rudder,1,2,KJ/ZC,2,1,2,35,crest
2,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
12,30,Rudder,1,5,KJ/ZC,2,0,2,35,crest
17,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
21,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
51,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
56,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
62,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
63,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
64,28,Rudder,1,5,KJ/ZC,2,0,2,35,crest
65,15,Rudder,1,5,KJ/ZC,2,0,2,35,crest
66,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
91,-999,Rudder,1,5,KJ/ZC,2,0,2,35,crest
92,35,Rudder,1,5,KJ/ZC,2,0,2,35,crest
93,30,Rudder,1,5,KJ/ZC,2,0,2,35,crest
94,30,Rudder,1,5,KJ/ZC,2,0,2,35,crest
95,30,Rudder,1,5,KJ/ZC,2,0,2,35,crest
96,35,Rudder,1,5,KJ/ZC,2,0,2,35,crest
96,35,Rudder,1,5,KJ/ZC,2,0,2,35,crest
97,35,Rudder,1,5,KJ/ZC,2,0,2,35,crest
99,35,Rudder,1,5,KJ/ZC,2,0,2,35,crest
150,40,Rudder,1,5,KJ/ZC,2,0,2,35,crest
61,35,Rudder,2,3,KJ/ZC,2,0,2,14,crest
71,25,Rudder,2,3,KJ/ZC,2,0,2,14,crest
72,25,Rudder,2,3,KJ/ZC,2,0,2,14,crest
73,30,Rudder,2,3,KJ/ZC,2,0,2,14,crest
74,27,Rudder,2,3,KJ/ZC,2,0,2,14,crest
75,25,Rudder,2,3,KJ/ZC,2,0,2,14,crest
76,27,Rudder,2,3,KJ/ZC,2,0,2,14,crest
77,28,Rudder,2,3,KJ/ZC,2,0,2,14,crest
78,28,Rudder,2,3,KJ/ZC,2,0,2,14,crest
79,30,Rudder,2,3,KJ/ZC,2,0,2,14,crest
61,35,Rudder,2,6,KJ/ZC,2,0,2,14,crest
71,25,Rudder,2,6,KJ/ZC,2,0,2,14,crest
72,25,Rudder,2,6,KJ/ZC,2,0,2,14,crest
73,30,Rudder,2,6,KJ/ZC,2,0,2,14,crest
74,27,Rudder,2,6,KJ/ZC,2,0,2,14,crest
75,25,Rudder,2,6,KJ/ZC,2,0,2,14,crest
76,27,Rudder,2,6,KJ/ZC,2,0,2,14,crest
77,28,Rudder,2,6,KJ/ZC,2,0,2,14,crest
78,28,Rudder,2,6,KJ/ZC,2,0,2,14,crest
79,30,Rudder,2,6,KJ/ZC,2,0,2,14,crest
41,35,Rudder,3,1,KJ/ZC,2,0,2,21,flat
42,37,Rudder,3,1,KJ/ZC,2,0,2,21,flat
43,48,Rudder,3,1,KJ/ZC,2,0,2,21,flat
44,35,Rudder,3,1,KJ/ZC,2,0,2,21,flat
45,40,Rudder,3,1,KJ/ZC,2,0,2,21,flat
46,46,Rudder,3,1,KJ/ZC,2,0,2,21,flat
47,-999,Rudder,3,1,KJ/ZC,2,0,2,21,flat
48,38,Rudder,3,1,KJ/ZC,2,0,2,21,flat
